@Relation RenaultDataSet

@Attribute Model	{Megane,Clio,Laguna,Scenic,Modus,Kangoo,Grand,Twingo,Espace,Vel,Koleos,Fluence,Captur,Express,Fuego,Latitude,Nevada,Rapid,Safrane,Thalia}
@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel			    NUMERIC
@Attribute AirCondition	    NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear			    NUMERIC

@Data
Megane,147695,3250,2004,88,0,0,1,0
Kangoo,202000,4090,2006,50,1,0,1,0
Clio,134000,2200,2002,44,0,0,1,0
Kangoo,205000,4099,2006,50,0,0,1,0
Megane,160000,2990,2004,88,0,0,1,0
Kangoo,207000,3750,2004,43,0,0,1,0
Megane,185000,3050,2003,63,1,1,1,0
Clio,120000,2199,2002,43,0,0,0,0
Megane,259438,6200,2009,63,0,0,1,0
Kangoo,163000,5599,2008,63,0,0,0,0
Scenic,148000,3299,2004,88,1,1,1,0
Clio,134835,2599,2005,48,0,1,0,0
Clio,44845,4200,2006,48,0,1,0,0
Laguna,153000,3450,2005,88,1,1,1,0
Clio,159000,6200,2011,63,0,1,1,0
Megane,151000,7300,2011,66,0,0,1,0
Clio,167000,3800,2005,55,0,0,1,0
Laguna,188560,3500,2003,74,1,1,1,0
Kangoo,190000,3100,2007,45,1,1,0,0
Modus,88232,4250,2007,82,0,0,1,0
Modus,137590,4350,2007,63,0,0,1,0
Megane,136444,3350,2003,88,0,0,1,0
Grand,176000,4000,2005,130,0,0,1,1
Megane,111000,2550,2002,83,1,0,0,0
Twingo,134000,1700,2002,43,0,0,0,0
Megane,181000,2600,2005,63,0,1,0,0
Grand,165000,3950,2005,88,0,0,1,0
Clio,199500,2100,2005,48,0,1,0,0
Clio,159000,3899,2006,63,1,0,1,0
Scenic,181000,2400,2001,70,1,1,1,0
Scenic,178000,2400,2003,59,0,0,1,0
Scenic,213000,2400,2003,59,1,1,1,0
Clio,202931,3999,2006,63,0,0,1,0
Clio,170000,2200,2005,60,1,0,0,0
Scenic,131000,2899,2002,79,0,0,1,0
Scenic,145000,2299,2001,76,0,1,1,0
Laguna,165230,8670,2011,81,1,1,1,0
Laguna,182842,2490,2002,79,1,0,1,0
Laguna,201500,2600,2004,88,0,1,1,0
Laguna,187310,2900,2002,89,0,0,1,0
Laguna,170000,6250,2007,110,1,0,1,0
Kangoo,141000,4350,2008,63,0,1,1,0
Scenic,188828,2450,2002,79,0,1,1,0
Scenic,77225,2350,2002,79,0,0,1,0
Scenic,175000,4100,2005,74,0,0,1,0
Scenic,135000,4650,2006,77,0,1,1,0
Scenic,114000,2390,2001,79,1,0,1,0
Grand,167000,3950,2005,88,0,1,1,0
Modus,160000,4100,2004,60,0,0,1,0
Megane,124000,6250,2010,63,0,0,1,0
Megane,182200,3050,2003,88,0,1,0,0
Scenic,155000,3800,2004,88,0,1,1,0
Twingo,132000,1990,2002,55,0,0,0,0
Clio,150124,4450,2010,51,0,0,0,0
Megane,145000,2590,2003,88,0,1,0,0
Clio,149116,6090,2011,63,0,1,1,0
Megane,182000,3800,2007,63,0,1,1,0
Scenic,189000,3500,2004,74,0,0,1,0
Scenic,151000,4500,2009,63,0,0,1,0
Scenic,172000,4500,2007,77,1,0,1,0
Megane,175000,2900,2005,82,1,1,1,0
Clio,140567,4550,2010,50,0,1,0,0
Clio,95000,4150,2008,50,0,0,0,0
Laguna,147000,4150,2005,88,0,0,1,0
Megane,156356,2950,2005,88,0,1,1,0
Scenic,150000,7450,2011,81,0,1,1,0
Megane,226000,1990,2003,79,0,0,1,0
Megane,177000,2100,2001,79,0,0,1,0
Kangoo,178642,3450,2005,48,0,1,1,0
Megane,206000,3350,2003,60,0,0,1,0
Scenic,156000,2790,2003,88,1,1,1,0
Megane,163000,2750,2005,74,1,0,1,0
Clio,140000,4490,2011,55,0,0,0,0
Scenic,149991,8290,2011,96,0,0,1,0
Scenic,135607,7990,2010,96,0,1,1,0
Clio,141000,2599,2005,48,0,0,0,0
Scenic,223000,2750,2004,88,0,0,1,0
Megane,154000,4300,2005,83,0,1,0,0
Megane,141000,2150,2001,79,0,0,1,0
Scenic,186432,3550,2006,78,0,0,1,0
Scenic,118000,3100,2003,88,1,0,1,0
Megane,80650,4400,2007,77,0,1,1,0
Megane,112000,4550,2008,63,0,1,1,0
Scenic,88000,3600,2004,88,0,1,1,0
Megane,161528,3300,2005,96,1,0,1,0
Clio,152369,5250,2012,55,0,0,0,0
Laguna,162000,2300,2001,88,0,1,1,0
Kangoo,185000,2500,2002,55,1,1,1,0
Kangoo,140000,6850,2010,50,0,0,1,0
Megane,151000,6200,2010,63,0,1,1,0
Megane,140000,6390,2010,66,0,0,1,0
Laguna,151180,2350,2003,89,0,0,1,0
Laguna,87167,2750,2002,79,0,0,1,0
Kangoo,143725,2650,2004,48,1,0,1,0
Twingo,22000,7999,2013,55,0,1,0,0
Megane,192000,2800,2004,72,0,0,1,0
Scenic,162000,5000,2007,78,1,1,1,0
Megane,185000,3500,2004,88,1,0,1,0
Clio,165000,2550,2003,63,1,0,1,0
Scenic,180000,3299,2004,88,0,0,1,0
Megane,120000,2499,2003,75,0,0,1,0
Scenic,157925,2350,2002,79,0,1,1,0
Megane,162258,2799,2004,96,0,1,1,0
Scenic,176764,2450,2002,75,0,1,1,0
Megane,63052,3299,2006,98,0,1,0,0
Scenic,150196,2549,2003,79,0,1,1,0
Megane,110000,3090,2003,83,0,1,1,0
Clio,168000,2690,2003,48,0,1,1,0
Scenic,136000,3650,2005,88,0,1,1,0
Clio,142521,4890,2012,55,0,1,0,0
Clio,140694,5690,2010,55,0,1,1,0
Clio,133663,5450,2009,63,1,1,0,0
Scenic,161200,3350,2004,88,1,0,1,0
Scenic,155143,4150,2005,88,0,0,1,0
Scenic,177233,4100,2006,88,0,0,1,0
Laguna,225117,3250,2004,88,0,1,1,0
Laguna,202895,3990,2006,81,0,0,1,0
Laguna,151947,3750,2005,81,0,0,1,0
Laguna,193225,3790,2005,81,0,0,1,0
Laguna,185530,2590,2002,86,1,0,1,1
Laguna,186869,3690,2006,82,1,1,1,0
Grand,196,3690,2004,88,0,0,1,0
Scenic,110000,2999,2004,88,0,0,1,0
Megane,153000,6400,2010,63,0,0,1,0
Laguna,216000,2850,2005,88,0,1,1,0
Laguna,133000,8150,2010,81,0,1,1,0
Megane,216000,2800,2003,60,0,0,1,0
Megane,158000,2000,2003,79,1,0,1,0
Scenic,155000,2990,2004,83,0,1,1,0
Kangoo,180000,4000,2007,50,1,0,1,0
Scenic,192000,3290,2003,88,0,1,1,0
Clio,150000,1950,2003,60,1,0,0,0
Clio,149000,4390,2010,63,0,0,0,0
Megane,146000,6300,2011,66,0,0,1,0
Laguna,217414,3250,2003,88,1,0,1,0
Clio,206000,2299,2001,72,1,1,1,0
Megane,145451,2890,2005,60,0,0,0,0
Scenic,158910,2299,2002,79,0,0,1,0
Grand,163942,3399,2005,88,0,0,1,0
Clio,160623,2199,2005,55,0,0,0,0
Scenic,177000,3590,2005,74,1,0,1,0
Laguna,225721,2225,2003,88,0,0,1,0
Scenic,151000,3150,2003,98,1,0,1,0
Clio,158501,5450,2009,74,0,1,1,0
Megane,176170,2650,2003,83,0,1,0,0
Laguna,160000,3650,2006,81,0,0,1,0
Megane,127000,6399,2011,66,0,1,1,0
Scenic,149000,6850,2010,85,0,0,1,0
Scenic,143000,2690,2003,88,0,0,1,0
Clio,113546,999,2000,125,0,1,0,0
Kangoo,178000,2500,2002,59,1,1,1,0
Clio,76780,5299,2008,55,1,0,1,0
Megane,200000,3850,2006,78,0,1,1,0
Laguna,205000,2300,2002,88,0,0,1,0
Clio,131900,2650,2004,48,0,1,1,0
Scenic,110000,5990,2008,88,0,0,1,1
Laguna,180000,2650,2003,74,1,1,1,0
Scenic,190324,2580,2005,88,0,1,1,0
Megane,170450,2550,2003,60,0,1,1,0
Megane,148480,2399,2008,85,0,0,1,0
Twingo,226000,1900,2002,43,1,1,0,0
Scenic,203682,3100,2004,88,0,1,1,0
Clio,139131,2050,2002,48,0,1,0,0
Megane,160000,7150,2010,81,0,0,1,0
Megane,138963,6399,2009,96,0,1,1,0
Laguna,151000,3590,2006,96,1,0,1,0
Megane,170000,2600,2003,72,0,0,1,0
Laguna,265000,2950,2003,75,0,0,1,0
Laguna,161000,2550,2003,88,1,0,1,0
Laguna,197000,2600,2003,88,0,1,1,0
Megane,190000,2500,2003,87,0,0,0,0
Clio,178000,1700,2001,48,1,1,0,0
Laguna,88000,11500,2010,110,0,1,0,0
Megane,224000,2799,2004,60,0,1,1,0
Scenic,157256,7200,2010,77,0,0,1,0
Thalia,147000,1950,2002,55,1,1,1,0
Kangoo,228000,2450,2004,44,0,0,1,0
Megane,113000,7999,2009,78,1,0,0,0
Megane,192000,3100,2004,88,0,0,1,1
Grand,159000,3700,2004,88,1,0,1,0
Scenic,235000,2100,2000,101,0,0,1,0
Clio,130200,2300,2002,60,1,0,1,0
Megane,15000,18900,2012,195,0,1,0,0
Clio,191120,4550,2009,63,0,0,1,0
Laguna,320000,1450,1997,107,0,1,1,0
Megane,156000,4850,2007,110,1,0,1,0
Megane,224000,2699,2004,88,0,1,1,0
Scenic,250000,3150,2003,88,0,0,1,0
Twingo,110621,2999,2006,43,0,0,0,0
Clio,66,3700,2005,86,1,1,1,0
Megane,25000,9500,2011,81,0,1,1,0
Clio,30000,1450,2004,48,0,1,0,0
Megane,176000,1800,2001,59,0,1,1,0
Megane,100000,600,1999,79,0,1,0,0
Twingo,15,999,1998,45,1,1,0,0
Megane,154000,4100,2005,60,0,1,1,0
Scenic,167960,2300,2001,79,0,1,1,0
Scenic,103000,3300,2005,88,0,0,1,0
Clio,93500,4200,2006,55,0,1,0,0
Laguna,211000,2500,2002,110,0,1,1,0
Clio,152348,4690,2011,55,0,0,1,0
Espace,280000,1450,1986,65,1,0,1,0
Scenic,160000,2700,2002,75,0,1,1,1
Scenic,198000,2590,2002,79,1,1,1,0
Megane,168000,3699,2004,88,0,1,1,0
Megane,188000,2800,2006,78,0,0,1,0
Twingo,145000,1800,2001,55,0,0,0,0
Megane,218000,1600,2001,108,0,0,1,0
Megane,225123,3250,2004,88,0,1,1,0
Scenic,160000,2890,2003,88,0,0,1,0
Laguna,250000,2600,2002,88,1,1,1,0
Clio,133000,2600,2003,43,0,0,0,0
Scenic,220000,2800,2005,74,1,0,1,0
Scenic,175000,2499,2003,75,0,0,1,0
Grand,149000,3720,2005,88,0,0,1,0
Laguna,147000,2840,2004,74,0,1,1,0
Megane,162000,2890,2004,88,1,0,1,0
Megane,125000,7350,2010,81,0,1,1,0
Megane,163260,5000,2006,83,0,0,0,0
Laguna,201791,2850,2003,88,1,0,1,0
Scenic,129000,2350,2002,76,0,1,1,0
Megane,214000,5999,2010,96,1,0,1,0
Scenic,188597,2990,2003,88,0,0,1,0
Megane,177150,2950,2004,74,0,1,1,0
Megane,165278,2850,2003,88,1,1,1,0
Grand,154000,2900,2005,88,1,0,1,0
Scenic,141000,2300,2003,75,0,0,1,0
Clio,1,2500,2004,60,0,1,0,0
Clio,186000,1200,2003,72,0,1,1,0
Clio,131000,2200,2002,63,1,0,0,0
Clio,175160,2300,2005,43,1,0,0,0
Megane,176000,2700,2002,88,0,1,0,0
Megane,199000,2990,2006,78,0,1,1,0
Clio,114000,2100,2002,48,1,1,0,0
Scenic,133000,2490,2002,79,1,0,1,0
Megane,157000,3100,2004,88,0,0,1,0
Megane,145000,3390,2004,88,0,1,1,0
Clio,208735,950,2002,72,0,1,0,0
Laguna,170260,2999,2004,74,0,0,1,0
Megane,160200,2150,2003,74,1,0,1,0
Scenic,196000,3500,2005,88,0,0,1,0
Scenic,150000,2750,2002,88,1,0,1,0
Clio,178000,1800,2001,55,0,1,0,0
Twingo,99000,1699,2003,55,1,0,0,0
Scenic,185000,2200,2002,59,1,0,1,0
Laguna,208000,3200,2004,88,0,1,1,0
Scenic,179863,2300,2002,75,0,1,1,0
Clio,96000,2550,2002,55,0,0,1,0
Modus,186000,3350,2005,55,1,0,1,0
Scenic,200000,3350,2003,88,0,0,1,0
Laguna,188000,2950,2004,81,0,1,1,0
Twingo,135000,1700,2001,44,0,0,0,0
Clio,165800,2699,2005,55,1,1,0,0
Grand,148158,4699,2005,88,1,0,1,0
Laguna,180000,2599,2004,74,0,1,1,0
Modus,154000,2799,2004,60,0,1,1,0
Clio,101000,6599,2012,55,1,0,1,0
Laguna,167000,2590,2003,74,0,0,1,0
Clio,177800,1800,2003,48,0,1,0,0
Twingo,153000,1700,2002,44,0,0,0,0
Clio,110000,2400,2001,55,1,1,1,0
Megane,162000,4190,2008,78,0,0,1,0
Clio,126336,2550,2004,60,0,1,0,0
Scenic,160000,6990,2010,78,0,0,1,0
Clio,132000,4200,2008,55,0,0,1,0
Clio,151000,3900,2006,63,0,0,1,0
Laguna,124500,3390,2004,88,0,1,1,0
Scenic,230000,2500,2002,75,0,1,1,0
Scenic,164000,2500,2002,79,0,0,1,0
Megane,155000,2200,2002,70,0,1,1,0
Scenic,171000,2499,2002,59,0,0,1,0
Laguna,195000,3000,2002,88,0,1,1,0
Megane,121377,3800,2006,82,0,0,1,0
Megane,87000,6950,2010,96,1,1,1,0
Twingo,105000,8850,2012,55,0,1,0,0
Scenic,211000,7200,2009,77,0,0,1,0
Megane,158000,2350,2004,88,1,0,1,0
Clio,103779,4090,2007,55,0,1,1,0
Megane,148853,2750,2003,88,1,0,1,0
Scenic,149627,2950,2004,88,0,1,1,0
Scenic,195000,3390,2003,88,1,1,1,0
Clio,126245,2650,2005,48,1,0,1,0
Megane,142488,2750,2004,74,0,0,1,0
Scenic,148000,5400,2008,78,0,1,1,0
Laguna,201132,6500,2008,81,0,0,1,0
Fluence,115900,8000,2010,63,1,0,1,0
Clio,178000,3990,2009,50,1,1,0,0
Megane,205123,3300,2006,63,0,0,1,0
Grand,259397,7100,2011,81,0,1,1,0
Espace,140000,3850,2003,88,0,1,1,0
Kangoo,122000,3200,2005,55,1,1,1,0
Grand,175503,7400,2007,127,0,0,1,0
Clio,128000,4950,2011,66,0,0,0,0
Megane,166486,6750,2010,81,0,0,1,0
Megane,81000,3000,2001,102,0,1,0,0
Scenic,128936,3350,2003,66,1,1,1,0
Laguna,200000,2500,2002,88,0,0,1,0
Clio,148000,2750,2002,55,0,0,1,0
Clio,157000,2500,2002,60,0,1,1,0
Twingo,114000,2600,2004,43,1,0,0,0
Modus,145532,3190,2004,55,1,0,1,0
Scenic,227131,2700,2001,75,1,0,1,0
Clio,15,2750,2005,48,0,1,0,0
Grand,128278,10490,2011,110,0,1,1,1
Kangoo,230000,2750,2002,70,1,0,1,0
Kangoo,250000,2300,2003,43,0,1,1,0
Scenic,131547,8450,2012,70,0,1,1,0
Laguna,192117,4149,2006,96,0,0,1,0
Megane,185000,2999,2003,60,0,0,1,0
Clio,180000,2200,2003,43,1,0,0,0
Scenic,247253,3649,2005,88,0,1,1,0
Laguna,142,2750,2002,88,1,1,1,0
Scenic,186000,2650,2004,88,0,1,1,0
Kangoo,312000,2000,1998,55,0,1,1,0
Clio,189000,2450,2003,60,0,0,1,0
Scenic,144895,2350,2001,80,1,1,1,0
Scenic,170490,2699,2003,88,0,1,1,0
Megane,160000,2300,2003,79,0,0,1,0
Laguna,160400,3050,2005,81,0,0,1,0
Clio,198000,1650,2001,77,0,0,0,0
Laguna,212000,2300,2001,76,1,0,1,0
Clio,125800,2100,2005,55,1,1,0,0
Scenic,111600,1199,2001,79,1,1,1,0
Laguna,170000,2350,2002,88,0,0,1,0
Megane,174750,1800,2001,59,0,0,1,0
Scenic,170,2999,2004,80,0,0,1,0
Megane,131000,6099,2010,63,0,0,1,0
Megane,165000,3100,2004,74,1,0,1,0
Laguna,174000,2350,2003,74,1,1,1,0
Scenic,166000,3500,2005,60,1,0,1,0
Clio,185000,2300,2002,43,0,1,1,0
Scenic,164380,3100,2004,88,1,1,1,0
Clio,178312,1600,2004,42,0,1,0,0
Laguna,225000,1500,1997,66,0,0,1,0
Clio,1500,1750,2002,48,0,0,1,0
Scenic,186890,3000,2005,60,1,1,1,0
Clio,235000,1850,2002,48,0,0,0,0
Scenic,220000,1850,2002,75,1,1,1,0
Modus,86522,3250,2005,72,1,1,1,0
Megane,190000,2899,2004,74,0,1,1,0
